Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace de incidencia saliente (Blocks),Adjunto,Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Estimacion Fibonacci),Campo personalizado (Estimación Fibonacci),Campo personalizado (Fecha de inicio),Campo personalizado (Priorizacion MoSCoW),Sprint,Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerabilidad),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
HU-01 Definir arquitectura C4,AR-4,10429,Historia,Finalizada,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,Listo,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:25 PM,19/ago/26 3:45 PM,,19/ago/26 3:45 PM,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000qz:,,,,,,Sprint 1,,,,,Listo,19/ago/26 3:45 PM,,,
HU-03 Configurar PostgreSQL,AR-6,10431,Historia,Finalizada,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,Listo,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:25 PM,19/ago/26 3:45 PM,,19/ago/26 3:45 PM,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000r9:,,,,,,Sprint 1,,,,,Listo,19/ago/26 3:45 PM,,,
HU-02 Diseñar modelo de datos,AR-5,10430,Historia,Finalizada,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,Listo,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:25 PM,19/ago/26 3:45 PM,,19/ago/26 3:45 PM,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000rj:,,,,,,Sprint 1,,,,,Listo,19/ago/26 3:45 PM,,,
HU-04 Configurar estructura MVC,AR-7,10432,Historia,Finalizada,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,Listo,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:25 PM,19/ago/26 3:45 PM,,19/ago/26 3:45 PM,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000rn:,,,,,,Sprint 1,,,,,Listo,19/ago/26 3:45 PM,,,
HU-08 Controlar acceso según rol,AR-11,10436,Historia,Finalizada,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,Listo,LUIS ANDRES MENCHACA RIVERO,712020:e6bf34aa-6443-4e8c-afca-9823b7cb67bd,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:25 PM,26/ago/26 4:38 PM,26/ago/26 7:43 PM,26/ago/26 4:38 PM,,0,"Como administrador, quiero que el sistema controle el acceso según el rol del usuario, para proteger la información médica y evitar accesos no autorizados.

CA-01 — Usuario autenticado

Un usuario debe estar autenticado para acceder a cualquier recurso protegido de MedicalSys.

Si no tiene una sesión/token válido, el sistema debe rechazar la solicitud.

Sin JWT

   ↓

401 Unauthorized

----

h3. CA-02 — Validación del rol

El sistema debe identificar el rol asociado al usuario autenticado antes de permitir el acceso a un recurso protegido.

Ejemplo:

JWT

 ↓

id_usuario = 25

rol = MEDICO

----

h3. CA-03 — Acceso permitido

Si el rol del usuario tiene permiso para realizar una operación, el sistema debe permitir la solicitud.

Ejemplo:

MÉDICO

   ↓

POST /api/consultas

   ↓

✓ Permitido

----

h3. CA-04 — Acceso denegado

Si el usuario está autenticado pero su rol no tiene permiso para realizar una operación, el sistema debe rechazar la solicitud.

Por ejemplo:

PACIENTE

   ↓

POST /api/usuarios

   ↓

403 Forbidden

----

h3. CA-05 — Rutas protegidas

Las funcionalidades que contengan información o acciones restringidas deben estar protegidas mediante autorización.

----

h3. CA-06 — Matriz de permisos

El sistema debe aplicar la matriz de permisos definida para:

*  Administrador. 
*  Médico. 
*  Recepcionista. 
*  Paciente. 

----

h3. CA-07 — Paciente y sus propios datos

Cuando corresponda, el paciente solamente debe poder acceder a información perteneciente a su propia cuenta.

Por ejemplo:

Paciente A

   ↓

Historia de Paciente A

✓ Permitido

Paciente A

   ↓

Historia de Paciente B

✗ Denegado

Este punto es especialmente importante para la información médica.

----

h3. CA-08 — Médico y pacientes autorizados

El médico debe poder acceder a las funcionalidades médicas que le correspondan, pero no a funciones administrativas restringidas.



(aclaracion): El médico tiene acceso a la historia clínica de cualquier paciente del centro [DECISIÓN: ¿alcance abierto para Sprint 2, o restringir a pacientes con cita/atención previa con ese médico? Definir antes de implementar T5]

----

h3. CA-09 — Recepcionista

El recepcionista debe poder utilizar las funcionalidades administrativas necesarias para gestionar pacientes, citas y operaciones correspondientes a su función, pero no modificar información clínica exclusiva del médico.

----

h3. CA-10 — Administrador

El administrador debe poder acceder a las funcionalidades administrativas definidas en la matriz de permisos.

----

h3. CA-11 — No confiar en el frontend

El sistema debe validar los permisos *en el backend*.

Ocultar un botón en React no constituye seguridad.

Por ejemplo:

Frontend

   │

   └── oculta ""Eliminar usuario""

Pero...

POST /api/usuarios/25/eliminar

   │

   ▼

Backend

   │

   └── ¿Es ADMIN?

          │

         NO

          ↓

        403

----

h3. CA-12 — Manejo de respuestas

El sistema debe diferenciar al menos:

401 Unauthorized

→ No autenticado / token inválido

403 Forbidden

→ Autenticado pero sin permiso


Esta será nuestra matriz inicial:

||Funcionalidad||Admin||Médico||Recepcionista||Paciente||
|Gestionar usuarios|✅|❌|❌|❌|
|Gestionar roles|✅|❌|❌|❌|
|Gestionar médicos|✅|❌|❌|❌|
|Gestionar pacientes|✅|👁️|✅|👁️|
|Gestionar especialidades|✅|👁️|👁️|👁️|
|Gestionar disponibilidad médica|✅|✅|❌|❌|
|Gestionar citas|✅|👁️|✅|👤|
|Gestionar consultorios|✅|👁️|✅|❌|
|Registrar consulta|❌/👁️|✅|❌|❌|
|Registrar diagnóstico|❌|✅|❌|❌|
|Registrar tratamiento|❌|✅|❌|❌|
|Consultar historia clínica|👁️|✅|❌|👤|
|Gestionar documentos médicos|👁️|✅|❌|👤|
|Gestionar consentimientos|👁️|✅|❌|👤|
|Facturación|✅|👁️|✅|👁️|
|Notificaciones|✅|👁️|✅|👁️|
|Marketing|✅|❌|❌|👁️|

*Importante:* esta matriz es nuestra propuesta de diseño. El documento establece los cuatro roles y el control de acceso, pero *no especifica permiso por permiso*; por eso estos detalles los estamos definiendo nosotros.

Y yo usaría:

* ✅ = puede realizar la operación.
* 👁️ = puede consultar.
* 👤 = puede operar únicamente sobre sus propios datos.
* ❌ = no tiene acceso.

Esto después nos va a servir muchísimo para las demás HU.


Definition of done
☐ Existe matriz de permisos documentada
☐ Los cuatro roles tienen permisos definidos
☐ Existe estructura para representar permisos
☐ Los roles tienen permisos asociados
☐ Existe middleware/dependency de autorización
☐ Los endpoints protegidos verifican permisos
☐ Se diferencia 401 de 403
☐ El backend valida permisos
☐ El frontend no depende exclusivamente de ocultar botones
☐ Se controla acceso a recursos propios
☐ Se protegen recursos sensibles
☐ Se probaron los cuatro roles
☐ Se probaron accesos permitidos
☐ Se probaron accesos denegados
☐ Se probaron tokens inválidos/expirados
☐ Se cumplen todos los criterios de aceptación
☐ Código integrado en Git",,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,AR-250,AR-259,AR-278,AR-284,AR-290,AR-296,AR-302,,,,0|i000sb:,,,,,,Sprint 2,5.0,,,,Listo,26/ago/26 4:38 PM,,,
HU-10 Consultar paciente,AR-13,10438,Historia,Finalizada,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,Listo,diego.coaquira,712020:550ea436-301e-466a-979d-dd61a44653c0,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:26 PM,27/ago/26 3:13 AM,,27/ago/26 3:13 AM,,0,"Como personal autorizado, quiero consultar la información de un paciente, para disponer de sus datos cuando sea necesario para su atención o gestión administrativa.


Objetivo:

Permitir que los usuarios autorizados encuentren un paciente y consulten su información básica.

CA-01 — Acceso autorizado

Solamente usuarios autenticados con permisos correspondientes pueden consultar pacientes.

Como mínimo:

* Administrador → sí.
* Recepcionista → sí.
* Médico → sí.
* Paciente → únicamente sus propios datos.

----

h2. CA-02 — Buscar paciente

El sistema debe permitir buscar pacientes mediante al menos un identificador.

Recomiendo soportar:

* CI.
* Nombre.
* Apellido

El sistema debe exigir al menos un criterio de búsqueda (CI, nombre o apellido). Una solicitud sin filtros debe rechazarse con un mensaje claro, no devolver el listado completo.

----

h2. CA-03 — Búsqueda por CI

Cuando se introduzca un CI existente, el sistema debe devolver el paciente correspondiente.

Ejemplo:

CI: 12345678

        ↓

Juan Carlos Pérez López

----

h2. CA-04 — Búsqueda por nombre o apellido

El sistema debe permitir localizar pacientes mediante su nombre o apellido.

Por ejemplo:

Búsqueda:

""Pérez""

Resultado:

Juan Carlos Pérez López

María Pérez Gómez

Carlos Pérez Vargas

----

h2. CA-05 — Resultados múltiples

Cuando una búsqueda coincida con varios pacientes, el sistema debe mostrar una lista de resultados que permita identificar correctamente al paciente.

La lista podría mostrar:

||CI||Nombre||Apellido||Fecha nacimiento||
|12345678|Juan Carlos|Pérez López|20/05/2000|
|87654321|María|Pérez Gómez|14/03/1998|

Los resultados deben paginarse; el sistema no debe devolver más de N resultados por página.

----

h2. CA-06 — Consultar detalle

Al seleccionar un paciente, el usuario autorizado debe poder visualizar su información básica.

----

h2. CA-07 — Paciente inexistente

Si no existen coincidencias, el sistema debe informar claramente:

{quote}""No se encontraron pacientes.""{quote}

No debe considerarse un error del servidor.

----

h2. CA-08 — Información del paciente

El detalle debe mostrar únicamente la información correspondiente al perfil del paciente.

Por ejemplo:

Juan Carlos Pérez López

CI: 12345678

Fecha de nacimiento: 20/05/2000

Sexo: Masculino

Teléfono: 70000000

Correo: [juan@example.com|mailto:juan@example.com]

----

h2. CA-09 — Restricción para pacientes

Un usuario con rol *PACIENTE* solamente puede consultar su propio perfil.

Por ejemplo:

Paciente A

     │

     ├── Consultar perfil A → ✓

     │

     └── Consultar perfil B → ✗

Esto es una autorización sobre *propiedad del recurso*, no solamente sobre el rol.

----

h2. CA-10 — No mostrar historia clínica

La consulta básica del paciente no debe mostrar automáticamente:

*  diagnósticos; 
*  tratamientos; 
*  consultas médicas; 
*  documentos médicos; 
*  consentimientos. 

Esos datos pertenecen a otras funcionalidades.

----

h2. CA-11 — Datos actualizados

La información mostrada debe corresponder a los datos actualmente almacenados en PostgreSQL.

----

h2. CA-12 — Manejo de errores

Los errores deben mostrarse de manera comprensible y no deben exponer:

*  consultas SQL; 
*  stack traces; 
*  información interna del servidor; 
*  información de otros pacientes.


☐ Se puede buscar un paciente por CI
☐ Se puede buscar por nombre/apellido
☐ Se muestran múltiples resultados correctamente
☐ Se puede consultar el detalle de un paciente
☐ Se maneja correctamente un paciente inexistente
☐ Existe endpoint de búsqueda
☐ Existe endpoint de detalle
☐ Repository implementado
☐ Service implementado
☐ Interfaz implementada
☐ Autorización implementada
☐ Paciente solamente puede acceder a su propio perfil
☐ No se muestran datos de historia clínica
☐ No se exponen errores internos
☐ Se realizaron pruebas funcionales
☐ Se realizaron pruebas de autorización
☐ Los cambios están integrados en Git
☐ Se cumplen los criterios de aceptación",,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,AR-405,AR-412,AR-420,AR-427,AR-436,AR-451,AR-460,,,,0|i000sz:,,,,,,Sprint 2,2.0,,,,Listo,27/ago/26 3:13 AM,,,
HU-13 Registrar disponibilidad médica,AR-16,10441,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:26 PM,27/ago/26 8:08 PM,27/ago/26 8:08 PM,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000tn:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:26 PM,,,
HU-14 Consultar disponibilidad,AR-17,10442,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:26 PM,27/ago/26 8:08 PM,27/ago/26 8:08 PM,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000tv:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:26 PM,,,
HU-15 Reservar cita,AR-18,10443,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,ROY BRAYAN ALARCON CHAMBI,712020:dbd21d3d-4bd1-4bdd-a69a-3dc16aa345d7,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:26 PM,27/ago/26 8:11 PM,27/ago/26 8:11 PM,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000u3:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:26 PM,,,
HU-16 Cancelar/reprogramar cita,AR-19,10444,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,ROY BRAYAN ALARCON CHAMBI,712020:dbd21d3d-4bd1-4bdd-a69a-3dc16aa345d7,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:26 PM,27/ago/26 8:11 PM,27/ago/26 8:11 PM,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000ub:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:26 PM,,,
